"Name","Tab","Quantity","Price","Total"
"Divine Orb","curr","20","","11498"
"Voidborn Reliquary Key","#4b","4","","7828"
"Sacred Crystallised Lifeforce","curr","24","","7226.400000000001"
"Simulacrum","deli","57","","6423.900000000001"
"Refracting Fog","curr","12","","6074.4"
"Fracturing Orb","curr","24","","5625.6"
"Focal Point, Forbidden Flame","9","1","","4944"
"Horned Scarab of Preservation","sac","3","","4386"
"Orb of Conflict","curr","4","","4288"
"The Black Barya","#4b","3","","4197"
"Cooldown Recovery Support - 3/20 corrupted","gemy","1","","3909"
"Orb of Annulment","curr","120","","3616.8"
"Tainted Catalyst","catalyst","65","","3533.4"
"Focal Point, Forbidden Flesh","9","1","","3449"
"Ambush Scarab of Containment","sac","5","","3281.5"
"Vaal Orb","curr","4276","","3123.1904000000004"
"Precision - 21/20 corrupted","gemy","1","","2874"
"Exalted Orb","curr","895","","2559.7"
"Fruiting Astrolabe","curr","4","","2456.4"
"Tainted Mythic Orb","curr","116","","2222.56"
"Kalguuran Scarab of Refinement","sac","21","","2121"
"Breach Scarab of Resonant Cascade","sac","4","","1872.8"
"Scarab of the Dextral","sac","916","","1804.52"
"Breach Scarab of Instability","sac","152","","1547.36"
"Scarab of Wisps","sac","191","","1545.19"
"Nightmare Map","m","78","","1482"
"Orb of Regret","curr","516","","1367.3999999999999"
"Gemcutter's Prism","curr","348","","1311.96"
"Eldritch Chaos Orb","curr","38","","1300.7399999999998"
"Chaos Orb","curr","1300","","1300"
"Map (Tier 16)","#4b","317","","1268"
"Glassblower's Bauble","curr","1619","","1149.3281"
"Templar Astrolabe","curr","4","","1148.8"
"Horned Scarab of Bloodlines","sac","1","","1103"
"Coin of Power","curr","2","","1052.2"
"Orb of Fusing","curr","4884","","1028.0819999999999"
"Darker Half","card","18","","1026.8999999999999"
"Runic Astrolabe","curr","3","","1012.1999999999999"
"Exotic Coinage","#4b","107","","992.9599999999999"
"Regal Orb","curr","2125","","972.4"
"Stacked Deck","curr","97","","967.09"
"Grasping Astrolabe","curr","2","","926.8"
"Enkindling Orb","curr","757","","923.54"
"Tainted Chromatic Orb","curr","255","","892.5"
"The Realm","card","176","","880"
"Divination Scarab of The Cloister","sac","35","","862.75"
"Devouring Fragment","sac","4","","856.8"
"Kalguuran Scarab","sac","133","","852.53"
"Reverent Fragment","sac","3","","851.0999999999999"
"Eldritch Orb of Annulment","curr","41","","848.6999999999999"
"Deafening Essence of Anger","ess","85","","800.7"
"Maven's Chisel of Divination","curr","24","","793.1999999999999"
"Divine Vessel","sac","38","","778.6199999999999"
"Traumatic Fragment","sac","8","","739.36"
"Timeless Templar Splinter","sac","86","","705.1999999999999"
"Tattoo of the Ramako Shaman","#4b","1","","684.5"
"Cartography Scarab of Risk","sac","30","","671.7"
"Orb of Scouring","curr","1174","","665.3058"
"Fine Delirium Orb","deli","20","","654"
"Orb of Alchemy","curr","14384","","653.32128"
"Awakening Fragment","sac","41","","630.17"
"Eldritch Exalted Orb","curr","36","","625.32"
"Black Mórrigan","9","1","","574.9"
"Alchemist's Mark - 1/23 corrupted","gemy","1","","574.9"
"Scarab of the Sinistral","sac","339","","569.52"
"Deafening Essence of Spite","ess","52","","568.36"
"Reality Fragment","sac","2","","546.2"
"Grand Eldritch Ichor","curr","138","","523.02"
"Eternal Bonds","card","1","","517.5"
"Blazing Fragment","sac","2","","512.2"
"Marohi Erqi","#4b","1","","500"
"Enlighten Support - 1/0","gemy","2","","499.8"
"Blessed Orb","curr","1515","","480.255"
"Orb of Chance","curr","8928","","478.36224000000004"
"Ritual Splinter","sac","73","","461.36"
"Decaying Fragment","sac","2","","456.2"
"Burial Medallion","#4b","88","","440"
"Orb of Alteration","curr","10026","","433.52424"
"Deafening Essence of Scorn","ess","8","","405.36"
"Incandescent Invitation","sac","4","","400"
"Chaotic Astrolabe","curr","1","","390.9"
"Blacksmith's Whetstone","curr","2680","","384.58"
"Scarab of Monstrous Lineage","sac","86","","364.64000000000004"
"Maven's Chisel of Proliferation","curr","5","","347.45"
"Lonely Fragment","sac","6","","344.34000000000003"
"The Undisputed","card","7","","338.59"
"Vivid Crystallised Lifeforce","curr","1469","","306.2865"
"Tainted Chaos Orb","curr","2","","306"
"Coin of Knowledge","curr","1","","281.3"
